days,log virus,virus
3.98,6.069644014,1173934.9
4.96,8.333213472,215384017
5.95,8.562808445,365433573.7
6.97,7.706183387,50837406.57
7.97,7.057605178,11418398.03
8.97,5.059205422,114605.49
9.99,5.540901828,347457.61
10.96,4.330649324,21411.61
11.98,4.108358313,12833.89
13.01,3.109942837,1288.08
13.97,3.307012268,2027.74
14.99,3.479513408,3016.57
15.98,3.765589585,5828.94
16.99,5.136569584,136952.38
17.99,4.104699085,12726.21
19.01,3.508654939,3225.93
20,3.108808485,1284.72
20.99,3.746105408,5573.21
22.01,3.365950113,2322.47
